40 , 90 , 8731 , 8731 , None , 311.92758446745415
40 , 45 , 5601 , 5601 , None , 265.3544599225071
40 , 150 , None , None , None , 11.714567704031241
45 , 150 , None , None , None , 12.05821936224645
45 , 45 , 5631 , 5631 , None , 265.8253858077479
45 , 135 , 2161 , 11941 , None , 359.53025401172187
45 , 120 , 2111 , 10951 , None , 344.8426713122573
45 , 90 , 8741 , 8741 , None , 312.0173216540916
45 , 60 , 6661 , 6661 , None , 281.09352615290845
45 , 30 , 4561 , 4561 , None , 249.8986383365031
50 , 120 , 2041 , 11141 , None , 347.6731136850958
50 , 135 , None , None , None , 2.1370955250293537
50 , 90 , 8841 , 8841 , None , 313.5518857660116
50 , 30 , 4611 , 4611 , None , 250.5669998953828
50 , 60 , 6691 , 6691 , None , 281.59634313215514
50 , 45 , 5631 , 5631 , None , 265.7413317242525
50 , 150 , None , None , None , 15.507047340065117
0 , 150 , 2391 , 10251 , 11881 , 180.3126040591558
0 , 45 , 2341 , None , None , 170.726881214368
0 , 60 , 2301 , None , None , 176.4342815564296
0 , 90 , 2191 , 9561 , 11691 , 183.4055832641981
0 , 120 , 2051 , 8031 , 11821 , 180.0547451582146
0 , 135 , 2191 , None , None , 178.55472179237412
0 , 30 , 2401 , None , None , 157.03944216967128
5 , 30 , 2441 , None , None , 149.8814787663605
5 , 150 , 2221 , None , None , 176.46329711351012
5 , 135 , 2261 , None , None , 177.33244999552753
5 , 90 , 2221 , None , None , 177.91532056720882
5 , 120 , 2151 , None , None , 176.53583716057275
5 , 45 , 2381 , None , None , 166.87885497692835
5 , 60 , 2421 , None , None , 175.2918919394414
10 , 60 , 2421 , None , None , 164.865413446653
10 , 120 , 2061 , None , None , 167.45378816967389
10 , 90 , 2261 , None , None , 169.70064057315315
10 , 150 , 2381 , None , None , 166.92892155789983
10 , 30 , 2461 , None , None , 138.44384831388774
10 , 135 , 2161 , None , None , 170.32275691233275
10 , 45 , 2501 , None , None , 157.5188281566289
15 , 90 , 2251 , None , None , 142.676077285377
15 , 30 , 10121 , 10121 , None , 335.7610461635783
15 , 120 , 2081 , None , None , 144.7721316292794
15 , 135 , 2101 , None , None , 141.4121194717612
15 , 60 , 5491 , None , None , 83.4627153997668
15 , 45 , 2511 , None , None , 53.3714322963901
15 , 150 , None , None , None , 142.8741805555229
20 , 45 , 6261 , 6261 , None , 277.10143620957496
20 , 30 , 5051 , 5051 , None , 259.484197228957
20 , 60 , 7301 , 7301 , None , 292.33488372145615
20 , 135 , 2221 , None , None , 52.51553807367629
20 , 150 , None , None , None , 72.25241531288144
20 , 90 , 2211 , 10391 , None , 337.34365635101983
20 , 120 , 2061 , None , None , 46.750245062903005
25 , 90 , 2211 , 9091 , None , 317.69029765289105
25 , 135 , 2071 , None , None , 7.581527771182508
25 , 150 , None , None , None , 18.848501306380403
25 , 45 , 5761 , 5761 , None , 268.7321330630629
25 , 120 , 2091 , 11611 , None , 354.67265727483937
25 , 30 , 4681 , 4681 , None , 252.62799237497714
25 , 60 , 6851 , 6851 , None , 284.62647228668015
30 , 135 , 2231 , None , None , 0.36168260577483413
30 , 150 , None , None , None , 13.751089949809927
30 , 90 , 2191 , 8901 , None , 314.69439238425764
30 , 60 , 6691 , 6691 , None , 281.92001089187187
30 , 45 , 5631 , 5631 , None , 266.2190269612108
30 , 30 , 4611 , 4611 , None , 251.15836394969398
30 , 120 , 2071 , 11031 , None , 346.12863716933737
35 , 90 , 8741 , 8741 , None , 312.1928342020818
35 , 30 , 4551 , 4551 , None , 250.0163397830398
35 , 120 , 2071 , 10901 , None , 344.16977273757203
35 , 60 , 6641 , 6641 , None , 280.92478274689034
35 , 135 , 2101 , 11851 , None , 358.21873282433495
35 , 150 , None , None , None , 11.29422406189339
35 , 45 , 5621 , 5621 , None , 265.84836981900276
40 , 135 , 2131 , 11841 , None , 358.0128942260496
40 , 150 , None , None , None , 11.716145793111828
40 , 120 , 2121 , 10881 , None , 343.7847301139807
40 , 45 , 5571 , 5571 , None , 264.8792676179093
40 , 90 , 2261 , 8771 , None , 312.4979354915846
